restaurant_display,city,am_name,am_email
Brza Hrana Kod Mare,Beograd,,
Mascarpone Bar,Beograd,,
Street Pasta bar Terazije,Beograd,,
Spud Bg,Beograd,,
Istok Not Istok,Beograd,,
Meatballs House,Beograd,,
Indian Arab Restaurant,Beograd,,
Coffee Stop Ruzvelt,Beograd,,
STEAKHOUSE EL TORO since 2003,Beograd,,
Baget & Co.,Beograd,,
Ribarnica Papalina,Beograd,,
Grill & Chill Steakhouse Hangar,Beograd,,
Lounge 27,Beograd,,
Chicken70 X Oaza,Beograd,,
Kod Vijetnamca,Beograd,,
Urbana Trpeza,Beograd,,
SWAN Restaurant,Beograd,,
Snack Shack,Beograd,,
Naša Mala Trpeza,Beograd,,
Poke by Shuta,Beograd,,
Tony's Pasta Bar,Beograd,,
Giros Kod Bucka Dorćol,Beograd,,
Royal India,Beograd,,
ESQUINA - Brunch & Cocktails,Beograd,,
TANNIN,Beograd,,
La Teglia Doro,Beograd,,
Cheeses Christ,Beograd,,
Dolcino Street Coffee | Makedonska,Beograd,,
Georgian Supra,Beograd,,
A'dam Stroopwafel,Beograd,,
Gurme,Beograd,,
Wok and Roll,Beograd,,
Robin Hood,Beograd,,
Gavran,Beograd,,
Mi&Mi Salad & juice bar Hangar,Beograd,,
Sticky Fingers,Beograd,,
Miamiam ,Beograd,,
Smiley Pizzeria,Beograd,,
Osam Dorćol,Beograd,,
Svet kafe,Beograd,,
Kikiriki Latte,Beograd,,
SLOJ Bakery West 65,Beograd,,
Soya Sos Vukov spomenik,Beograd,,
Smokvica - Kralja Petra,Beograd,,
Hola Asian Food,Beograd,,
Restoran Gradska,Beograd,,
Pizza King,Beograd,,
Vin et Baguette,Beograd,,
Green & Protein,Beograd,,
HiFood,Beograd,,
Belgrade Brunch,Beograd,,
Bir's pilav ispod sača,Beograd,,
Dream Garden,Beograd,,
Konoba Stari Beograd,Beograd,,
Loki 2,Beograd,,
AUT BISTRO,Beograd,,
ČARNA FOOD & COFFEE,Beograd,,
Panda Bowl Chinese Food,Beograd,,
Kaži Važi,Beograd,,
Pub 31,Beograd,,
Una Trattoria,Beograd,,
KETONAC FOOD BAR,Beograd,,
Nota restoran,Beograd,,
Toronto pizza,Beograd,,
Kuhinja na Brdu,Beograd,,
Pizza Fabrika Vračar,Beograd,,
GOSSIP CAFFE BAR,Beograd,,
Pečenjara Marinković Bulevar,Beograd,,
Pizza Hot,Beograd,,
Pane e vino,Beograd,,
Restoran Prijović,Beograd,,
Kostas Giros,Beograd,,
Moba Plantbased,Beograd,,
Rižoto bar,Beograd,,
MM box,Beograd,,
Restoran K2,Beograd,,
Bonjour Motherf*ckers,Beograd,,
Diwali Palace,Beograd,,
Beng Chicken,Beograd,,
Gvero,Beograd,,
Comida Loca,Beograd,,
Dreamy Can,Beograd,,
Maikhana The Indian Restaurant,Beograd,,
Manifest ,Beograd,,
Bardo Sushi,Beograd,,
Štrudlica Vračar,Beograd,,
Ljukijev roštilj,Beograd,,
Ultimatum,Beograd,,
Emma Pizza & Cocktails Dorćol,Beograd,,
Snežana 2,Beograd,,
Initial Tea Bubble Tea,Beograd,,
